iMISID,ID,UJURIS,UJURIS1,NAME_CUT,UPO,NAMELSAD,TEST,USTATE,STATE_TITLE,COUNTYFP +,COUSUBFP,COUSUBNS,FIPS_PLACE_ID,ST_FIP,ICMA_REGION_CODE,UCNTY#,GEOID,UZIP,UTYPE,UID,UPOP,UGRAPH,UREGN,UMETRO,UFOG,STATEFP +,per_flood,drought,per_sea,flood_dummy,drought_dummy,sea_dummy,score_hazard,statereg,per_water,pop_total_log,pop_density_log,pop_growth,age_median,per_white,per_male,per_manufact,edu_bachelor,per_democrat,hh_oc,income_log,prior_env,prior_cli,greenaction,staffs,urban,impervious
183939,183939,City of Aliceville,"ALICEVILLE, CITY OF",Aliceville,Aliceville,Aliceville CCD,TRUE,AL,Alabama,107,90072,1935003,1228,11228,SE,107,110790072,35442,1,1,8,6,3,3,1,1,30.1703541,7.880434782,0,2,1,0,3,0,4.104346664,8.591186871,1.769689279,109.7389949,42.6,36.6,47,18.7,8.3173691,48.09,72.6,10.01677159,4,2,0,0,0,0
183833,183833,City of Childersburg,"CHILDERSBURG, CITY OF",Childersburg,Childersburg,Childersburg CCD,TRUE,AL,Alabama,121,90576,165959,14464,114464,SE,121,112190576,35044-0369,1,1,8,6,3,3,1,1,23.7709471,11.96694215,0,2,2,0,4,0,0.988360453,9.112065803,4.329586985,83.96590217,37.8,63,46.5,20.9,6.2663496,40.3,68.3,10.49182962,4,2,0,0,13,0
128169,128169,Town of Hokes Bluff,"HOKES BLUFF, TOWN OF",Hokes Bluff,Hokes Bluff,Hokes Bluff CCD,TRUE,AL,Alabama,55,91638,165770,35392,135392,SE,55,105591638,35903-4826,1,2,8,6,3,2,1,1,19.2251532,11,0,2,2,0,4,0,1.723250859,9.135509061,3.807191506,123.6442516,41.9,98,49.3,12.8,7.8754195,23.7,85.4,10.78991684,1,1,0,0,9,0
128277,128277,City of Montgomery,"MONTGOMERY, CITY OF",Montgomery,Montgomery,Montgomery CCD,TRUE,AL,Alabama,101,92214,165905,51000,151000,SE,101,110192214,36101-1111,1,1,3,6,3,1,1,1,36.6039609,10.99788584,0,2,2,0,4,0,2.274706238,12.15047008,6.00219057,-6.144328465,34.2,37.1,47.1,10.5,15.3735481,24.2,59,10.63621596,2,1,1,2,51,0
184095,184095,City of Prattville,"PRATTVILLE, CITY OF",Prattville,Prattville,Prattville CCD,TRUE,AL,Alabama,1,92628,165649,62328,162328,SE,1,100192628,36067-3033,1,1,6,6,3,2,1,1,17.3543548,11.43631436,0,2,2,0,4,0,3.908137429,10.66153256,4.731281199,75.62440851,36.7,80.5,48.3,13,13.9352164,25.8,73.5,10.9251288,3,2,0,0,14,0
184152,184152,City of Abbeville,"ABBEVILLE, CITY OF",Abbeville,Abbeville,Abbeville CCD,TRUE,AL,Alabama,67,90009,165797,124,1124,SE,67,106790009,36310-0427,1,1,8,6,3,3,1,1,7.7337235,8.011494253,0,1,1,0,2,0,3.556487659,8.491259809,2.422340044,63.10679612,43.8,49.6,47.4,19.7,8.559732,49,72.9,10.40601887,2,1,0,0,0,0
183808,183808,City of Alexander City,"ALEXANDER CITY, CITY OF",Alexander City,Alexander City,Alexander City CCD,TRUE,AL,Alabama,123,90063,165966,1132,11132,SE,123,112390063,35011-0552,1,1,6,6,3,3,1,1,8.3109435,10.95704057,0,1,2,0,3,0,7.022640419,9.870034176,3.82887065,28.87793177,40.1,65.7,47.9,25.7,9.0023225,25.8,64.5,10.5304148,4,1,0,0,6,0
184125,184125,City of Anniston,"ANNISTON, CITY OF",Anniston,Anniston,Anniston CCD,TRUE,AL,Alabama,15,90099,161600,1852,11852,SE,15,101590099,36202-2168,1,1,6,6,3,1,2,1,8.4941144,10.96190476,0,1,2,0,3,0,0,11.1369512,4.857505368,182.839018,39.4,67.2,47.5,18.6,9.0768369,33.2,66.8,10.52282672,4,1,0,0,32,0
183845,183845,City of Cullman,"CULLMAN, CITY OF",Cullman,Cullman,Cullman CCD,TRUE,AL,Alabama,43,90810,165731,18976,118976,SE,43,104390810,35056-0278,1,1,6,6,3,3,1,1,4.5320451,9.062801932,0,1,2,0,3,0,0,10.13713574,4.791847051,80.52161486,39.1,93.4,48.6,19,10.3294496,16.6,64.7,10.5424689,4,4,0,0,26,0
184154,184154,City of Daleville,"DALEVILLE, CITY OF",Daleville,Daleville,Daleville CCD,TRUE,AL,Alabama,45,90828,165739,19360,119360,SE,45,104590828,36322-0188,1,1,8,6,3,2,1,1,14.8809624,8,0,2,1,0,3,0,0,9.390659926,4.329883524,157.382334,36.1,71.2,50.8,7.5,9.736098,27.3,57.8,10.69765585,2,2,0,0,16,0
