network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
Organic,0,0,2016-04-01,android,23396,0.999016926,0.567319199863224,0.570396648999829,0.662762865447085,0.158916054026329,0.0268421952470508,0.022311506240383,0,0.046418191
Organic,0,0,2016-04-01,ios,3681,0.9997283347,0.567508829122521,0.741646291768541,0.589785384406411,0.171420809562619,0.0258082042923119,0.0323281716924749,1,0.055148058
Mobvista,App_Generic,441_9216ab2940fd8b81,2016-04-01,ios,1271,0.5444531865,0.274586939417781,0.372147915027537,0.293469708890637,0.0983477576711251,0.020456333595594,0.017309205350118,1,0.04563336
Mobvista,App_Generic,441_98be175f18ff1211,2016-04-01,android,1879,0.381053752,0.226716338477914,0.20223523150612,0.258648217136775,0.0596061734965407,0.0069185737094199,0.00957956359765833,0,0.031399681
Mobvista,App_Generic,441_db31e0a485a2b6c7,2016-04-01,ios,307,0.4885993485,0.267100977198697,0.335504885993485,0.257328990228013,0.0553745928338762,0.0130293159609121,0.00651465798045603,1,0.035830619
Mobvista,App_Generic,6473_f4cdc16bc778d6e5,2016-04-01,android,234,0.8632478632,0.196581196581197,0.367521367521368,0.277777777777778,0.0769230769230769,0.00854700854700855,0.00854700854700855,0,0.017094017
InMobi,App_Native,1090,2016-04-01,android,891,0.7362514029,0.228956228956229,0.24354657687991,0.260381593714927,0.0527497194163861,0.00785634118967452,0.00336700336700337,0,0.019079686
InMobi,App_Native,1170,2016-04-01,android,848,0.9799528302,0.477594339622642,0.438679245283019,0.509433962264151,0.133254716981132,0.0141509433962264,0.00825471698113208,0,0.02004717
InMobi,App_Native,1452879973491727,2016-04-01,android,11602,0.7384933632,0.391139458714015,0.522927081537666,0.53645923116704,0.13851060162041,0.0337872780555077,0.00939493190829167,0,0.055076711
InMobi,App_Native,1453932492790355,2016-04-01,android,1362,0.7143906021,0.398678414096916,0.505873715124816,0.538179148311307,0.131424375917768,0.039647577092511,0.0154185022026432,0,0.062408223
InMobi,App_Native,2014,2016-04-01,android,309,0.9870550162,0.40453074433657,0.459546925566343,0.472491909385113,0.110032362459547,0.029126213592233,0.0129449838187702,0,0.035598706
InMobi,App_Native,3541,2016-04-01,android,1110,0.9342342342,0.331531531531532,0.481981981981982,0.500900900900901,0.126126126126126,0.0378378378378378,0.00720720720720721,0,0.051351351
InMobi,App_Native,3563,2016-04-01,android,1341,0.6868008949,0.250559284116331,0.296047725577927,0.302013422818792,0.0753169276659209,0.0141685309470544,0.00671140939597315,0,0.035794183
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-01,android,4243,0.6057035117,0.287296724016026,0.419750176761725,0.422814046665095,0.104878623615366,0.0285175583313693,0.00683478670751827,0,0.054442611
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-01,ios,989,0.7593528817,0.400404448938322,0.616784630940344,0.506572295247725,0.143579373104146,0.038422649140546,0.0121334681496461,1,0.076845298
Mobvista SDK,ID_Traffic_Placement,441,2016-04-01,android,861,0.9976771196,0.557491289198606,0.644599303135889,0.700348432055749,0.180023228803717,0.0301974448315912,0.016260162601626,0,0.045296167
